CSA,CBSA,Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,
,,,,,,,,,
999,10180,"Abilene, TX                                                 ",663,397,50,20,196,19,
184,10420,"Akron, OH                                                   ",914,788,6,31,89,5,
999,10500,"Albany, GA                                                  ",367,173,0,0,194,13,
440,10540,"Albany-Lebanon, OR                                          ",796,440,30,15,311,26,
104,10580,"Albany-Schenectady-Troy, NY                                 ",2046,1299,42,77,628,63,
106,10740,"Albuquerque, NM                                             ",2014,1925,0,21,68,12,
999,10780,"Alexandria, LA                                              ",313,287,26,0,0,0,
999,10900,"Allentown-Bethlehem-Easton, PA-NJ                           ",1688,1110,26,4,548,52,
107,11020,"Altoona, PA                                                 ",96,96,0,0,0,0,
108,11100,"Amarillo, TX                                                ",1022,721,16,0,285,39,
218,11180,"Ames, IA                                                    ",270,251,8,3,8,1,
999,11260,"Anchorage, AK                                               ",1030,771,18,52,189,15,
220,11460,"Ann Arbor, MI                                               ",1065,711,136,21,197,4,
999,11500,"Anniston-Oxford, AL                                         ",102,102,0,0,0,0,
118,11540,"Appleton, WI                                                ",1311,594,88,0,629,47,
120,11700,"Asheville, NC                                               ",3432,2335,18,0,1079,53,
122,12020,"Athens-Clarke County, GA                                    ",1218,857,232,129,0,0,
122,12060,"Atlanta-Sandy Springs-Alpharetta, GA                        ",32346,28632,96,228,3390,149,
428,12100,"Atlantic City-Hammonton, NJ                                 ",667,499,6,0,162,15,
194,12220,"Auburn-Opelika, AL                                          ",2221,1316,18,18,869,59,
999,12260,"Augusta-Richmond County, GA-SC                              ",3556,3445,6,67,38,5,
999,12420,"Austin-Round Rock-Georgetown, TX                            ",42264,22570,346,71,19277,406,
999,12540,"Bakersfield, CA                                             ",2502,2209,34,7,252,25,
548,12580,"Baltimore-Columbia-Towson, MD                               ",8094,5010,2,4,3078,56,
999,12620,"Bangor, ME                                                  ",337,227,44,28,38,1,
148,12700,"Barnstable Town, MA                                         ",592,536,40,6,10,1,
999,12940,"Baton Rouge, LA                                             ",3780,3766,14,0,0,0,
310,12980,"Battle Creek, MI                                            ",90,90,0,0,0,0,
474,13020,"Bay City, MI                                                ",135,79,0,0,56,2,
999,13140,"Beaumont-Port Arthur, TX                                    ",1753,1555,42,8,148,11,
999,13220,"Beckley, WV                                                 ",75,75,0,0,0,0,
999,13380,"Bellingham, WA                                              ",1382,718,72,59,533,21,
140,13460,"Bend, OR                                                    ",2338,1734,128,17,459,18,
999,13740,"Billings, MT                                                ",1435,1032,104,62,237,12,
999,13780,"Binghamton, NY                                              ",446,133,34,4,275,3,
142,13820,"Birmingham-Hoover, AL                                       ",3845,3512,26,0,307,21,
999,13900,"Bismarck, ND                                                ",715,401,170,21,123,5,
999,13980,"Blacksburg-Christiansburg, VA                               ",1748,394,2,4,1348,26,
145,14010,"Bloomington, IL                                             ",265,162,22,0,81,5,
144,14020,"Bloomington, IN                                             ",650,283,20,0,347,12,
146,14100,"Bloomsburg-Berwick, PA                                      ",90,86,4,0,0,0,
147,14260,"Boise City, ID                                              ",9762,8158,144,351,1109,65,
148,14460,"Boston-Cambridge-Newton, MA-NH                              ",14248,4457,562,309,8920,490,
216,14500,"Boulder, CO                                                 ",1634,573,46,52,963,38,
150,14540,"Bowling Green, KY                                           ",978,806,8,20,144,16,
500,14740,"Bremerton-Silverdale-Port Orchard, WA                       ",1285,909,24,4,348,13,
408,14860,"Bridgeport-Stamford-Norwalk, CT                             ",1862,638,52,4,1168,42,
154,15180,"Brownsville-Harlingen, TX                                   ",1904,1576,68,68,192,10,
999,15260,"Brunswick, GA                                               ",542,457,36,3,46,3,
160,15380,"Buffalo-Cheektowaga, NY                                     ",1444,912,32,31,469,37,
268,15500,"Burlington, NC                                              ",1784,1182,8,0,594,20,
162,15540,"Burlington-South Burlington, VT                             ",1103,410,40,24,629,21,
548,15680,"California-Lexington Park, MD                               ",555,399,156,0,0,0,
184,15940,"Canton-Massillon, OH                                        ",690,518,28,47,97,15,
163,15980,"Cape Coral-Fort Myers, FL                                   ",10673,6828,448,108,3289,115,
164,16020,"Cape Girardeau, MO-IL                                       ",141,79,6,20,36,2,
999,16060,"Carbondale-Marion, IL                                       ",183,178,2,3,0,0,
456,16180,"Carson City, NV                                             ",263,190,0,9,64,9,
999,16220,"Casper, WY                                                  ",208,148,4,7,49,1,
168,16300,"Cedar Rapids, IA                                            ",644,453,88,22,81,3,
548,16540,"Chambersburg-Waynesboro, PA                                 ",330,281,30,4,15,3,
999,16580,"Champaign-Urbana, IL                                        ",1547,292,4,0,1251,21,
170,16620,"Charleston, WV                                              ",336,296,0,4,36,2,
999,16700,"Charleston-North Charleston, SC                             ",8604,5791,0,34,2779,93,
172,16740,"Charlotte-Concord-Gastonia, NC-SC                           ",26548,19690,108,26,6724,207,
999,16820,"Charlottesville, VA                                         ",1673,1068,18,0,587,25,
174,16860,"Chattanooga, TN-GA                                          ",3061,2251,96,32,682,35,
999,16940,"Cheyenne, WY                                                ",550,438,2,24,86,6,
176,16980,"Chicago-Naperville-Elgin, IL-IN-WI                          ",14995,8122,334,519,6020,225,
999,17020,"Chico, CA                                                   ",1837,1430,82,95,230,24,
178,17140,"Cincinnati, OH-KY-IN                                        ",7297,5392,58,97,1750,93,
999,17300,"Clarksville, TN-KY                                          ",3805,3043,116,169,477,27,
174,17420,"Cleveland, TN                                               ",713,676,2,35,0,0,
184,17460,"Cleveland-Elyria, OH                                        ",3374,2814,20,116,424,20,
518,17660,"Coeur dAlene, ID                                            ",2929,1669,44,18,1198,63,
999,17780,"College Station-Bryan, TX                                   ",2103,1392,30,8,673,23,
999,17820,"Colorado Springs, CO                                        ",6932,5039,302,4,1587,34,
190,17860,"Columbia, MO                                                ",934,806,6,0,122,5,
192,17900,"Columbia, SC                                                ",4872,4787,4,0,81,13,
194,17980,"Columbus, GA-AL                                             ",1828,1303,14,0,511,18,
294,18020,"Columbus, IN                                                ",169,169,0,0,0,0,
198,18140,"Columbus, OH                                                ",12358,5481,106,159,6612,251,
204,18580,"Corpus Christi, TX                                          ",1923,1646,2,8,267,8,
440,18700,"Corvallis, OR                                               ",302,281,0,3,18,2,
999,18880,"Crestview-Fort Walton Beach-Destin, FL                      ",2755,2400,10,16,329,29,
999,19060,"Cumberland, MD-WV                                           ",94,62,0,0,32,1,
206,19100,"Dallas-Fort Worth-Arlington, TX                             ",60812,44005,828,221,15758,406,
174,19140,"Dalton, GA                                                  ",445,410,0,0,35,6,
999,19180,"Danville, IL                                                ",7,7,0,0,0,0,
380,19300,"Daphne-Fairhope-Foley, AL                                   ",3614,3395,14,0,205,14,
209,19340,"Davenport-Moline-Rock Island, IA-IL                         ",582,431,2,26,123,5,
212,19430,"Dayton-Kettering, OH                                        ",1699,1146,40,60,453,17,
290,19460,"Decatur, AL                                                 ",224,216,0,0,8,1,
999,19500,"Decatur, IL                                                 ",31,29,2,0,0,0,
422,19660,"Deltona-Daytona Beach-Ormond Beach, FL                      ",6443,4906,254,4,1279,36,
216,19740,"Denver-Aurora-Lakewood, CO                                  ",19732,11234,252,101,8145,148,
218,19780,"Des Moines-West Des Moines, IA                              ",6508,4740,54,16,1698,56,
220,19820,"Detroit-Warren-Dearborn, MI                                 ",7165,5193,98,142,1732,94,
222,20020,"Dothan, AL                                                  ",488,488,0,0,0,0,
428,20100,"Dover, DE                                                   ",2136,1666,78,7,385,25,
999,20220,"Dubuque, IA                                                 ",277,169,16,0,92,4,
999,20260,"Duluth, MN-WI                                               ",565,389,16,0,160,5,
450,20500,"Durham-Chapel Hill, NC                                      ",5505,3528,14,11,1952,27,
408,20700,"East Stroudsburg, PA                                        ",212,192,0,0,20,1,
232,20740,"Eau Claire, WI                                              ",992,453,164,16,359,34,
999,20940,"El Centro, CA                                               ",480,315,0,4,161,10,
238,21340,"El Paso, TX                                                 ",2562,2330,86,18,128,19,
350,21060,"Elizabethtown-Fort Knox, KY                                 ",762,496,48,66,152,10,
515,21140,"Elkhart-Goshen, IN                                          ",488,373,0,9,106,5,
236,21300,"Elmira, NY                                                  ",184,28,0,0,156,1,
999,21420,"Enid, OK                                                    ",23,23,0,0,0,0,
240,21500,"Erie, PA                                                    ",201,166,0,8,27,4,
999,21660,"Eugene-Springfield, OR                                      ",1391,761,80,11,539,57,
999,21780,"Evansville, IN-KY                                           ",1121,882,52,12,175,8,
999,21820,"Fairbanks, AK                                               ",19,8,0,11,0,0,
244,22020,"Fargo, ND-MN                                                ",1976,1200,0,8,768,14,
999,22140,"Farmington, NM                                              ",98,90,0,0,8,1,
246,22180,"Fayetteville, NC                                            ",1960,1879,2,4,75,4,
999,22220,"Fayetteville-Springdale-Rogers, AR-MO                       ",6365,4579,400,69,1317,93,
999,22380,"Flagstaff, AZ                                               ",941,633,0,6,302,6,
220,22420,"Flint, MI                                                   ",485,393,0,92,0,0,
999,22500,"Florence, SC                                                ",764,521,16,30,197,9,
999,22520,"Florence-Muscle Shoals, AL                                  ",296,296,0,0,0,0,
999,22540,"Fond du Lac, WI                                             ",148,142,6,0,0,0,
999,22660,"Fort Collins, CO                                            ",2565,2190,10,4,361,29,
999,22900,"Fort Smith, AR-OK                                           ",655,380,114,43,118,15,
258,23060,"Fort Wayne, IN                                              ",1786,1520,140,15,111,12,
260,23420,"Fresno, CA                                                  ",3130,2663,68,46,353,37,
999,23460,"Gadsden, AL                                                 ",113,113,0,0,0,0,
264,23540,"Gainesville, FL                                             ",2080,1174,0,0,906,12,
122,23580,"Gainesville, GA                                             ",1706,1270,8,21,407,22,
276,23900,"Gettysburg, PA                                              ",226,226,0,0,0,0,
104,24020,"Glens Falls, NY                                             ",306,234,0,0,72,1,
999,24140,"Goldsboro, NC                                               ",414,414,0,0,0,0,
999,24220,"Grand Forks, ND-MN                                          ",488,207,0,4,277,6,
999,24260,"Grand Island, NE                                            ",271,141,64,11,55,6,
999,24300,"Grand Junction, CO                                          ",1004,778,18,0,208,8,
266,24340,"Grand Rapids-Kentwood, MI                                   ",3436,2510,46,58,822,40,
366,24420,"Grants Pass, OR                                             ",316,266,50,0,0,0,
999,24500,"Great Falls, MT                                             ",151,135,4,0,12,1,
216,24540,"Greeley, CO                                                 ",4185,3334,30,73,748,43,
267,24580,"Green Bay, WI                                               ",1433,832,42,0,559,39,
268,24660,"Greensboro-High Point, NC                                   ",3147,2237,8,0,902,27,
272,24780,"Greenville, NC                                              ",719,687,32,0,0,0,
273,24860,"Greenville-Anderson, SC                                     ",8734,6511,156,11,2056,99,
999,25060,"Gulfport-Biloxi, MS                                         ",3021,2604,22,44,351,23,
548,25180,"Hagerstown-Martinsburg, MD-WV                               ",1742,1558,16,0,168,8,
406,25220,"Hammond, LA                                                 ",1577,1116,18,0,443,18,
260,25260,"Hanford-Corcoran, CA                                        ",306,302,4,0,0,0,
276,25420,"Harrisburg-Carlisle, PA                                     ",1460,1160,28,60,212,19,
277,25500,"Harrisonburg, VA                                            ",596,575,0,0,21,2,
278,25540,"Hartford-East Hartford-Middletown, CT                       ",1399,801,30,35,533,45,
279,25620,"Hattiesburg, MS                                             ",144,131,8,0,5,1,
999,25860,"Hickory-Lenoir-Morganton, NC                                ",1567,965,24,0,578,31,
999,25940,"Hilton Head Island-Bluffton, SC                             ",2977,2975,2,0,0,0,
496,25980,"Hinesville, GA                                              ",721,721,0,0,0,0,
999,26140,"Homosassa Springs, FL                                       ",927,878,14,0,35,7,
284,26300,"Hot Springs, AR                                             ",88,79,2,0,7,1,
999,26380,"Houma-Thibodaux, LA                                         ",547,515,26,6,0,0,
288,26420,"Houston-The Woodlands-Sugar Land, TX                        ",70540,49915,306,35,20284,601,
170,26580,"Huntington-Ashland, WV-KY-OH                                ",254,233,6,3,12,1,
290,26620,"Huntsville, AL                                              ",4341,4210,26,15,90,7,
292,26820,"Idaho Falls, ID                                             ",1173,1137,4,32,0,0,
294,26900,"Indianapolis-Carmel-Anderson, IN                            ",10998,8405,206,148,2239,98,
168,26980,"Iowa City, IA                                               ",1019,537,16,63,403,10,
296,27060,"Ithaca, NY                                                  ",329,76,8,0,245,4,
999,27100,"Jackson, MI                                                 ",159,157,2,0,0,0,
298,27140,"Jackson, MS                                                 ",1178,1169,2,7,0,0,
297,27180,"Jackson, TN                                                 ",475,475,0,0,0,0,
300,27260,"Jacksonville, FL                                            ",17246,13210,68,40,3928,112,
999,27340,"Jacksonville, NC                                            ",1435,1351,0,4,80,5,
357,27500,"Janesville-Beloit, WI                                       ",671,351,48,0,272,4,
999,27620,"Jefferson City, MO                                          ",253,243,2,8,0,0,
304,27740,"Johnson City, TN                                            ",1051,699,6,3,343,25,
306,27780,"Johnstown, PA                                               ",59,56,0,3,0,0,
308,27860,"Jonesboro, AR                                               ",1058,695,82,193,88,15,
309,27900,"Joplin, MO                                                  ",973,603,88,11,271,12,
999,27980,"Kahului-Wailuku-Lahaina, HI                                 ",526,306,16,32,172,2,
310,28020,"Kalamazoo-Portage, MI                                       ",496,444,22,30,0,0,
176,28100,"Kankakee, IL                                                ",93,91,2,0,0,0,
312,28140,"Kansas City, MO-KS                                          ",10728,6173,304,326,3925,135,
313,28420,"Kennewick-Richland, WA                                      ",1965,1745,26,4,190,9,
999,28660,"Killeen-Temple, TX                                          ",3629,2923,486,68,152,8,
304,28700,"Kingsport-Bristol, TN-VA                                    ",734,565,6,10,153,10,
408,28740,"Kingston, NY                                                ",265,217,8,3,37,1,
315,28940,"Knoxville, TN                                               ",5396,3887,42,94,1373,52,
316,29020,"Kokomo, IN                                                  ",162,132,14,0,16,1,
